m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03,label,clase_name,dataset
8296425.0,1040201100.0,959462235.0,176437927710.0,125030963775.0,162721575885.0,33873485601690.0,21715187299515.0,21287412696195.0,31877884172655.0,46018098875.14522,4734128420.560157,51762002286.5892,212350760438.23935,123427036435.3125,-209508821162.875,1087202682100.1884,0.0006685696995097113,6.87793475380571e-05,0.0007520194697451356,1.0710909301960599e-06,6.225623067890624e-07,-1.056756272878475e-06,5.4838180455728865e-06,0,0,1
2869515.0,232734675.0,415069620.0,26799995865.0,34832814360.0,65856334680.0,3509107777605.0,4169150041020.0,5718355257390.0,11264783692110.0,7923834232.335377,1168207932.4073572,5817342220.666491,50129414615.081535,103086930477.0625,39058270403.82031,55862372617.18949,0.0009623174982891294,0.00014187411069355938,0.000706492595420384,3.593944655155766e-06,7.390645305740126e-06,2.8002174618493763e-06,4.004959503984853e-06,0,0,1
26775.0,5434305.0,1394850.0,1103249595.0,283096920.0,73627680.0,224035848015.0,57472842480.0,14942164110.0,3937246410.0,292701.1428572193,-4492.85714283751,962637.1428571433,-605576.9605494192,615907.6871032715,-981953.0748291016,1297267.6870749665,0.000408286912648764,-6.267057087357833e-06,0.001342776263944732,-5.16232859629199e-06,5.250394372541204e-06,-8.370801349192743e-06,1.1058746475355965e-05,0,0,1
1940550.0,323786760.0,301493640.0,57799604070.0,51122533875.0,50979021150.0,10765759225650.0,9304795530945.0,8789164335855.0,9076992697470.0,3774783296.8699083,817389015.9618926,4137447905.0696487,-137951700581.92596,51989623393.58984,29169867499.785156,-128994836255.04205,0.0010024029826968676,0.0002170596622866471,0.0010987094608142893,-2.629753038297196e-05,9.91070566745391e-06,5.560609065397553e-06,-2.4590096471111596e-05,0,0,1
5018655.0,704366355.0,845741925.0,119319908805.0,119510974950.0,151016028345.0,22168361309925.0,20624422483350.0,21566611906260.0,28108836607725.0,20462353931.03755,811411624.1819543,8491905108.255167,-321910794883.9453,288911981069.10156,98091139251.64062,-202435409319.60535,0.0008124205657920026,3.2215623531377636e-05,0.0003371556555004248,-5.705151558380782e-06,5.120321111398271e-06,1.7384468767709348e-06,-3.5877165640486497e-06,0,0,1
6911775.0,961379835.0,761118645.0,188494892535.0,105864523470.0,126359075685.0,39989068893825.0,21474360827070.0,17332335003450.0,24410904300615.0,54773643341.46762,-1786898.2518043402,42545353194.520195,-1466525519994.7537,717964471608.9375,-242940124812.34375,1126238405423.2546,0.0011465485395266884,-3.7404223197582965e-08,0.0008905800234014016,-1.1676579611337222e-05,5.716483754666207e-06,-1.9343064061849268e-06,8.9671896076634e-06,0,0,1
7422285.0,880249800.0,893733435.0,145559016870.0,112438710345.0,171911271495.0,27770896467210.0,18785585905935.0,22073310352155.0,37295795199195.0,41165328080.08693,6445922758.419457,64294890173.49332,744200630701.9808,-270406228599.90625,133067458157.64062,1111811791948.8755,0.0007472334903715889,0.0001170064611672411,0.001167081557176695,4.958450338996416e-06,-1.8016591232974599e-06,8.866001395198607e-07,7.407765230579024e-06,0,0,1
1909440.0,249098535.0,253637790.0,35645817345.0,32163108945.0,37471226940.0,5433623786115.0,4535361081915.0,4670061844845.0,5948594640600.0,3149336628.587738,-925546320.2283679,3779606089.8637805,-38300526941.80185,41885576404.26758,27590393007.90625,-32960716498.020725,0.0008637877724038867,-0.00025385523635343686,0.0010366556230578718,-7.6022073125408594e-06,8.313797763523188e-06,5.4763708029212165e-06,-6.542317299409224e-06,0,0,1
1363995.0,115844970.0,206867220.0,10961406540.0,16621880475.0,33741846330.0,1119221436360.0,1518284880525.0,2568845824215.0,5871227861940.0,1122618953.314638,-947485171.4161532,2367796783.9764423,-2427345138.7849402,16788969100.60254,-9474425521.46875,35633871927.86898,0.0006034020947661943,-0.0005092685594736956,0.0012726789755451513,-1.117119380415291e-06,7.726665013474323e-06,-4.360345877155348e-06,1.639951743730404e-05,0,0,1
4681035.0,579426300.0,665013990.0,82807886040.0,80392010175.0,109059049740.0,13178818699290.0,11396418715755.0,12771327906495.0,19344025045740.0,11085534651.537834,-1924527871.3801265,14583446183.154114,184348956529.35745,108710212955.0039,-181364341082.46094,-293124704609.0222,0.0005059095377838344,-8.782950362497486e-05,0.0006655434085708646,3.888534556980793e-06,2.293061093106623e-06,-3.8255790593037145e-06,-6.182978004518586e-06,0,0,1
1468545.0,257849880.0,249677385.0,46546610640.0,44010308730.0,44355136815.0,8620279050930.0,7986169602840.0,7837591449210.0,8152324006065.0,1272846052.5924637,171486112.3997219,1905775998.3833966,560641368.4240339,12242094853.355469,-8677554018.96875,-36824373202.02337,0.0005902029312773512,7.951598388943493e-05,0.0008836846987999693,2.145196070561472e-07,4.684223329555709e-06,-3.3203141673087194e-06,-1.4090201890724994e-05,0,0,1
1751850.0,232660980.0,260767080.0,33755859090.0,34284009735.0,41170066710.0,5207415124410.0,4971240723555.0,5353249458405.0,6788108173770.0,2856448972.3755426,-348135930.7467287,2354260555.51965,-34380515106.558,39071009167.771484,-10853225732.435547,-41029812139.74159,0.0009307491220641004,-0.00011343707345558202,0.0007671153821934862,-8.463891462074732e-06,9.618610421769562e-06,-2.6718774959601707e-06,-1.0100834021356702e-05,0,0,1
196350.0,45745215.0,17517225.0,10709161305.0,4084054500.0,1569980685.0,2518389611205.0,956771717250.0,366306442260.0,141359902545.0,51536169.29220669,2927818.928571006,7193968.928571287,-622116098.297269,-2693515.041015625,13198017.400878906,11587548.673471715,0.0013367504004928937,7.594206513773245e-05,0.000186597897718706,-3.641616226794441e-05,-1.5766748533471366e-07,7.725586021660903e-07,6.782882711696297e-07,0,0,1
10926240.0,1403386125.0,1167160755.0,252192336525.0,152006796675.0,191396839455.0,50632829310975.0,27929441771925.0,25092600190185.0,37464841447005.0,71938871852.56778,2094547885.7070158,66718612726.301926,-239131685910.3987,451744340271.3281,61755449145.953125,2765478038615.847,0.0006025903206813785,1.754481617000285e-05,0.0005588632293338354,-6.059827843704585e-07,1.1447637819263631e-06,1.564942716856645e-07,7.007988404279097e-06,0,0,1
9775170.0,1210349595.0,1109529225.0,207843985515.0,136796997570.0,192708152475.0,40527542905275.0,23318448007740.0,24056096509350.0,38981958258465.0,57979978841.28854,-583554187.0961783,66771201902.36539,434534649808.2997,-128342894243.74219,327681202873.91406,1950937123807.6404,0.00060677742504542,-6.107065130015889e-06,0.0006987801438908685,1.4544996311470248e-06,-4.2959679376597115e-07,1.096833564191451e-06,6.5302901120108815e-06,0,0,1
2052495.0,268199820.0,259829700.0,39163871550.0,32196930360.0,37449828360.0,6204224686950.0,4530039371910.0,4389906539310.0,5915900235840.0,4118162085.1621327,-1755054307.7599692,4557434954.856508,10434222098.325441,30868120914.4375,-59315873726.296875,21176213608.496544,0.0009775505405427952,-0.0004166067900567283,0.0010818231316490812,1.7288400195255254e-06,5.114520494344947e-06,-9.828011645219079e-06,3.5086741688453557e-06,0,0,1
2665770.0,346715340.0,430136295.0,51390451920.0,53912138250.0,76545613125.0,8393773918830.0,7852128083760.0,9209917105920.0,14635363997265.0,6295966277.4593525,-2032242460.7384653,7140813657.556443,72097935068.40175,88637866760.89844,-89930891069.7539,-20098660047.64225,0.0008859659697114407,-0.00028597638282514497,0.0010048525703347112,6.213926842476601e-06,7.639459008123588e-06,-7.750901290806843e-06,-1.7322493778686911e-06,0,0,1
12683700.0,1656605205.0,1602445245.0,302860555515.0,207799143510.0,279841027215.0,61470422459415.0,37947103449960.0,35910499816890.0,55025595727305.0,86493028276.64746,-1494606231.3609824,77389789545.93578,-679421382204.8115,74439151807.71875,-261599251972.57812,116087937349.1242,0.0005376370383687033,-9.29040968696528e-06,0.00048105168798544566,-1.1858351165043142e-06,1.2992314132053431e-07,-4.565849523805975e-07,2.0261527870143817e-07,0,0,1
2663730.0,354073110.0,381574095.0,57013268220.0,50691475755.0,58754962845.0,10232739268440.0,8274418910805.0,7768482107835.0,9555606017115.0,9948525462.636412,-28802393.342911217,4095222565.366166,9527497404.912245,115037172390.8125,-33198966491.710938,-34192296807.900295,0.0014020978132205499,-4.059272187952166e-06,0.0005771611707801487,8.227224235851413e-07,9.933737816916539e-06,-2.86681098002712e-06,-2.9525874531578865e-06,0,0,1
1379040.0,151833120.0,242319870.0,18099577680.0,26618030160.0,44520837090.0,2283633902850.0,3181050726660.0,4886967862260.0,8481483780030.0,1382661325.917159,-61530911.53846258,1941274933.1249983,-13603969779.829638,14208249341.107422,6821328862.5234375,-23782517392.987095,0.0007270463336677926,-3.2354867242418845e-05,0.0010207827443452207,-6.091489502038463e-06,6.362069535910468e-06,3.0544064584458263e-06,-1.0649167660327034e-05,0,0,1
5323125.0,654419760.0,348977190.0,112765980150.0,39968639820.0,33869120910.0,21853532564520.0,6510079504740.0,3611812633560.0,3955122123690.0,32312257519.316402,-2934273210.4613204,10990627705.294851,45319289869.06681,-161238967024.93555,-167289517521.375,293643689724.6259,0.0011403389858074015,-0.00010355408113775392,0.0003878726592640689,6.932125786670318e-07,-2.4663422669660125e-06,-2.558892651672167e-06,4.4916303841347295e-06,0,0,1
1382865.0,177816345.0,168226050.0,27538729335.0,20884679265.0,22399460100.0,4785840365415.0,3225999468285.0,2662150922445.0,3206695392750.0,4674131164.420062,-746746322.3040755,1934697524.7648897,42709231349.47664,67944087103.48828,-36410221736.71777,11079233668.995007,0.0024442258089178923,-0.00039049324237707864,0.0010117040913349363,1.8992069601394056e-05,3.021358124461873e-05,-1.6191007039381158e-05,4.926746989424338e-06,0,0,1
1795965.0,238604265.0,310769010.0,33725013525.0,41575209945.0,55161533190.0,5009817485655.0,5923434168255.0,7434929017665.0,10012292762940.0,2025066545.971888,287762129.57617646,1386889710.655976,-8827696073.545155,11285764335.335938,6815336540.46875,-12679741678.925093,0.0006278321648524062,8.921500438280288e-05,0.0004299779536552356,-2.042220824947937e-06,2.6108763554001474e-06,1.5766766431486746e-06,-2.933362487326993e-06,0,0,1
3056175.0,405343920.0,422444985.0,59470905180.0,55519494285.0,63400906785.0,9439398430230.0,8173818364065.0,8244839221905.0,10081626977085.0,5709686178.808506,-509858158.5744726,5007730559.27659,37141364785.24224,88597512045.59375,-23142174279.53125,-66475287271.91878,0.0006113019782013559,-5.458746613701217e-05,0.0005361477848899883,2.2746381098078e-06,5.425952398311923e-06,-1.417289640927564e-06,-4.071127236800101e-06,0,0,1
4035885.0,504201045.0,712647225.0,77560780875.0,88622875695.0,145866402285.0,13335377996685.0,14183005773165.0,18137581615965.0,32180176309455.0,14571202683.576801,-407776952.77121156,20028805995.660587,5003615818.482665,589389471418.6641,58575342281.61719,-649855476604.4779,0.0008945772174491415,-2.503485674254692e-05,0.0012296386184114595,1.5291039136099274e-07,1.801172951883552e-05,1.7900611952062923e-06,-1.9859569331565667e-05,0,0,1
2430405.0,320740275.0,348433785.0,46253775015.0,46128741885.0,52746416205.0,7107336376545.0,6706964643915.0,7024169827395.0,8342321313465.0,3925716931.2338705,145974395.55241036,2793382644.9858418,-32921964880.171627,37287106813.25781,21376111464.125,-20585782012.888824,0.0006646020569347243,2.4712653826887813e-05,0.00047290415589894524,-3.575107641546649e-06,4.049133184621427e-06,2.321304324334964e-06,-2.2354797731352396e-06,0,0,1
2459985.0,336040530.0,332423100.0,54653212110.0,46311407820.0,50935347810.0,9634316997930.0,7800272023260.0,7296558933510.0,8466978618090.0,8749177003.005085,901523325.483575,6014294464.711312,-221779896138.0914,168564127980.3711,95004602501.53906,-41474498137.440056,0.0014457802401450042,0.00014897453892706531,0.0009938475461756567,-2.3366358110240412e-05,1.7759633977271295e-05,1.0009525673101472e-05,-4.3696836043178035e-06,0,0,1
